"code","country","year","htflowsunodc","mediafreedom","prostitutionlaw","prostitutionbrothel","englishspeaking","frenchspeaking","spanishspeaking","portuguesespeaking","germanspeaking","protestantpopulation","muslimpopulation","catholic2","britishlegal","socialistlegal","frenchlegal","germanlegal","scandinavianlegal","visaonothers","visaatborder2onothers","urbanization","trade_gdp","alq_m","literacy","alq_f","alq_agri","mort_5","democracy","reg_west_europe","reg_east_asia","reg_europe","reg_latam","reg_mideast","reg_sasia","reg_ssa","inc_low","inc_low_mid","pop_ln","gdp_pc_const_ppp_ln","stockmigrants1990_ln","tourism_in_ln","ruleWB_m","prosecution_m","protection_m","prevention_m","execrlc_right_m","id","_mi_id","_mi_miss","_st","_d","_t","_t0","_mi_m"
"CHI","Channel Islands",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,11.8775405883789,NA,NA,NA,NA,NA,NA,NA,NA,36,36,1,1,1,36,0,0
"CHL","Chile",1995,1,30,1,0,0,0,1,0,0,12.4300003051758,0,82.0999984741211,0,0,1,0,0,114,114,84.4000015258789,56.4054260253906,4.44106531143188,NA,5.25887823104858,15.6999998092651,16.3999996185303,1,0,0,0,1,0,0,0,0,0,16.483434677124,9.12038803100586,4.67749071121216,14.2472925186157,1.15430414676666,4,4,3.5,0,37,37,1,1,1,37,0,0
"CHN","China",1995,4,83,0,0,0,0,0,0,0,0,1.42999994754791,0,0,1,0,0,0,191,191,31.3999996185303,38.8075828552246,NA,NA,NA,48.5,44.9000015258789,0,0,1,0,0,0,0,0,0,1,20.9096260070801,7.52248287200928,5.9306526184082,16.8129405975342,-0.361229747533798,4.33333349227905,2,3.16666674613953,0,38,38,1,1,1,38,0,0
"CIV","Cote d'Ivoire",1995,3,63,1,0,0,1,0,0,0,5.32000017166138,38.6699981689453,18.5,0,0,1,0,0,169,169,41.4000015258789,76.2023468017578,NA,NA,NA,NA,150.899993896484,0,0,0,0,0,0,0,1,0,1,16.5222835540771,7.4484543800354,7.50461196899414,12.1441974639893,-0.898466408252716,2.33333325386047,2.33333325386047,3.33333325386047,0,39,39,1,1,1,39,0,0
"CMR","Cameroon",1995,3,78,0,0,1,1,0,0,0,17.5,21.7800006866455,35,0,0,1,0,0,184,184,45.2999992370605,41.3691253662109,NA,NA,NA,NA,152.600006103516,0,0,0,0,0,0,0,1,0,1,16.4584465026855,7.40219402313232,5.58086109161377,11.5129251480103,-1.14665830135345,2.16666674613953,2.33333325386047,2.5,0,40,40,1,1,1,40,0,0
"COG","Congo, Rep.",1995,2,53,NA,NA,0,1,0,0,0,24.3799991607666,1.76999998092651,53.9000015258789,0,0,1,0,0,187,169,56.4000015258789,128.309036254883,NA,NA,NA,NA,109.699996948242,1,0,0,0,0,0,0,1,0,1,14.8388233184814,8.04579925537109,4.8644528388977,10.5186729431152,-1.50577127933502,2,2,2.5,0,41,41,1,1,1,41,0,0
"COL","Colombia",1995,0,48,0,0,0,0,1,0,0,0,0,96.5999984741211,0,0,1,0,0,64,64,70.5,35.4972305297852,6.80000066757202,NA,11.3000001907349,NA,31.1000003814697,1,0,0,0,1,0,0,0,0,0,17.4116992950439,8.82465648651123,4.64727115631104,14.1752805709839,-0.762881636619568,4.66666650772095,3.5,3.83333325386047,0,42,42,1,1,1,42,0,0
"COM","Comoros",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,192,28.2999992370605,64.3298187255859,NA,NA,NA,NA,120.300003051758,0,0,0,0,0,0,0,1,1,0,13.0943603515625,7.02940797805786,NA,10.043249130249,-1.28470098972321,NA,NA,NA,0,43,43,1,1,1,43,0,0
"CPV","Cape Verde",1995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,174,48.7999992370605,78.2831344604492,NA,NA,NA,NA,50.7000007629395,1,0,0,0,0,0,0,1,0,1,12.8947048187256,7.51623773574829,NA,10.2399597167969,0.833037495613098,NA,NA,NA,0,44,44,1,1,1,44,0,0
"CRI","Costa Rica",1995,2,21,1,0,0,0,1,0,0,0,0,90.5,0,0,1,0,0,125,125,55.7999992370605,77.9209213256836,4.56193685531616,NA,6.56174993515015,21.6000003814697,14.3999996185303,1,0,0,0,1,0,0,0,0,0,15.0621528625488,8.88283157348633,6.03452396392822,13.5734386444092,0.67662900686264,4.33333349227905,2.33333325386047,3.16666674613953,0.666666686534882,45,45,1,1,1,45,0,0
"CUB","Cuba",1995,0,90,1,0,0,0,1,0,0,2.42000007629395,0,32,0,1,0,0,0,169,169,74.3000030517578,29.3084182739258,5.40000057220459,NA,13.0000038146973,25.1000003814697,10.6000003814697,0,0,0,0,1,0,0,0,0,0,16.2052021026611,NA,3.54385352134705,13.5171041488647,-0.826626658439636,1.83333337306976,1.33333337306976,1,0,46,46,1,1,1,46,0,0
"CYM","Cayman Islands",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,121,100,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,10.3930330276489,NA,NA,12.7966327667236,1.52053356170654,NA,NA,NA,NA,47,47,1,1,1,47,0,0
"CYP","Cyprus",1995,4,24,1,0,0,0,0,0,0,0,22.0900001525879,1.29999995231628,1,0,0,0,0,137,137,68,100.103706359863,NA,NA,NA,10.6999998092651,9.30000019073486,1,1,0,0,0,0,0,0,0,0,13.5028419494629,9.90866756439209,3.77963376045227,14.5574474334717,0.828410625457764,4.16666650772095,3.33333325386047,2.83333325386047,0.333333343267441,48,48,1,1,1,48,0,0
"CZE","Czech Republic",1995,4,21,1,0,0,0,0,0,0,0.28999999165535,0,39.2000007629395,0,0,1,0,0,136,136,74.5999984741211,105.80509185791,3.40205454826355,NA,4.80711984634399,6.59999990463257,8.60000038146973,1,1,0,0,0,0,0,0,0,0,16.1506595611572,9.654953956604,6.05091190338135,15.0336818695068,0.847881972789764,4.66666650772095,4.16666650772095,3.83333325386047,0.600000023841858,49,49,1,1,1,49,0,0
"DEU","Germany",1995,5,18,1,0,0,0,0,0,1,42.7599983215332,2.13000011444092,35,0,0,0,1,0,132,132,73.3000030517578,47.4402885437012,7.15455770492554,NA,9.43474864959717,3.20000004768372,6.40000009536743,1,1,0,0,0,0,0,0,0,0,18.2178535461426,10.234450340271,8.68882465362549,16.5133075714111,1.68822741508484,5,5,5,1,50,50,1,1,1,50,0,0
"DJI","Djibouti",1995,1,58,0,0,0,1,0,0,0,NA,97.7799987792969,6.69999980926514,0,0,0,0,0,192,192,79.6999969482422,90.3624420166016,NA,NA,NA,NA,114.300003051758,0,0,0,0,0,1,0,0,0,1,13.3435821533203,7.6532769203186,4.80565881729126,9.95227813720703,-0.701427042484283,1.83333337306976,1.66666662693024,2.33333325386047,0,51,51,1,1,1,51,0,0
"DMA","Dominica",1995,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,69.4000015258789,114.222190856934,NA,NA,NA,NA,17.6000003814697,1,0,0,0,1,0,0,0,0,0,11.1982145309448,8.72920227050781,NA,11.0020999908447,0.497746229171753,NA,NA,NA,NA,52,52,1,1,1,52,0,0
"DNK","Denmark",1995,4,9,0,0,1,0,0,0,0,86.5199966430664,0,0.600000023841858,0,0,0,0,1,132,132,85,71.0762176513672,5.61350965499878,NA,8.6464204788208,4.40000009536743,6.30000019073486,1,1,0,0,0,0,0,0,0,0,15.469539642334,10.2429285049438,5.46043634414673,14.568811416626,1.86016917228699,4.83333349227905,4.5,4.5,0.666666686534882,53,53,1,1,1,53,0,0
"DOM","Dominican Republic",1995,3,35,1,0,0,0,1,0,0,6.40000009536743,0,96.5999984741211,0,0,1,0,0,182,130,57.7999992370605,75.0863647460938,10.1999969482422,NA,26.2000007629395,14.6000003814697,45,1,0,0,0,1,0,0,0,0,0,15.9102916717529,8.38541984558105,5.67401027679443,14.389874458313,-0.540713429450989,3.33333325386047,3,3.33333325386047,1,54,54,1,1,1,54,0,0
"DZA","Algeria",1995,1,99,0,0,0,0,0,0,0,0,99.9300003051758,0.5,0,0,1,0,0,183,183,56,55.1910057067871,26,NA,38.4000015258789,NA,54.9000015258789,0,0,0,0,0,1,0,0,0,0,17.1571445465088,8.63606834411621,5.61312818527222,13.1615839004517,-1.19447779655457,2,1,1.66666662693024,0,55,55,1,1,1,55,0,0
"ECU","Ecuador",1995,2,41,1,1,0,0,1,0,0,3.40000009536743,0,96.4000015258789,0,0,1,0,0,27,27,57.7999992370605,53.9859390258789,5.50000143051147,NA,8.80000114440918,6.19999980926514,41.7000007629395,1,0,0,0,1,0,0,0,0,1,16.2497177124023,8.63985252380371,4.36564302444458,12.9945297241211,-0.628464698791504,4.16666650772095,3.5,2.83333325386047,0,56,56,1,1,1,56,0,0
"EGY","Egypt, Arab Rep.",1995,2,81,0,0,0,0,0,0,0,1,89,0.200000002980232,0,0,1,0,0,181,60,42.7999992370605,50.2450981140137,NA,NA,NA,34,64.9000015258789,0,0,0,0,0,1,0,0,0,1,17.97216796875,8.13317584991455,5.16820859909058,14.8701705932617,-0.062463603913784,2.33333325386047,1.33333337306976,2,0,57,57,1,1,1,57,0,0
"ERI","Eritrea",1995,0,68,0,0,0,0,0,0,0,0,69.3199996948242,0,0,0,1,0,0,190,190,16.6000003814697,105.322631835938,NA,NA,NA,NA,115.099998474121,0,0,0,0,0,0,0,1,1,0,14.9805679321289,6.6214542388916,2.46809959411621,12.660327911377,-0.210160061717033,2,1,1,0,58,58,1,1,1,58,0,0
"ESP","Spain",1995,4,23,1,0,0,0,1,0,0,0,1.14999997615814,96.9000015258789,0,0,1,0,0,132,132,75.9000015258789,44.7662696838379,17.7670249938965,NA,30.790901184082,9,7,1,1,0,0,0,0,0,0,0,0,17.4889469146729,9.95258903503418,6.72106409072876,17.3685703277588,1.31303882598877,5,4.5,4,0,59,59,1,1,1,59,0,0
"EST","Estonia",1995,3,25,1,0,0,0,0,0,0,13.8900003433228,0,2,0,0,1,0,0,132,132,70,143.772506713867,10.5,NA,8.89999866485596,10.1999998092651,15.8999996185303,1,1,0,0,0,0,0,0,0,0,14.1780681610107,8.95853042602539,5.94542074203491,13.1806325912476,0.517946600914001,2.83333325386047,3.33333325386047,3.66666674613953,0.5,60,60,1,1,1,60,0,0
"ETH","Ethiopia",1995,1,59,1,0,0,0,0,0,0,0,32.939998626709,0.699999988079071,0,0,1,0,0,190,190,13.8999996185303,25.4151077270508,NA,NA,NA,NA,179.699996948242,0,0,0,0,0,0,0,1,1,0,17.8582611083984,6.18618440628052,7.05220174789429,11.5424842834473,-0.719059467315674,4,3,3.16666674613953,0,61,61,1,1,1,61,0,0
"FIN","Finland",1995,3,15,1,0,0,0,0,0,0,85.1399993896484,0,0.100000001490116,0,0,0,0,1,132,132,61.4000015258789,65.516845703125,15.4135341644287,NA,15.0975399017334,8,5.09999990463257,1,1,0,0,0,0,0,0,0,0,15.4463186264038,9.99394798278809,4.1478853225708,NA,1.95158112049103,4.5,3.83333325386047,4.66666650772095,0.16666667163372,62,62,1,1,1,62,0,0
"FJI","Fiji",1995,1,56,0,0,1,0,0,0,0,0,7.80999994277954,9,1,0,0,0,0,94,94,45.5,118.138511657715,NA,NA,NA,NA,19,1,0,1,0,0,0,0,0,0,0,13.5514612197876,8.2158613204956,2.61739587783813,12.6698064804077,0.0508583188056946,3,1.5,2.25,0,63,63,1,1,1,63,0,0
"FRA","France",1995,4,27,1,0,0,1,0,0,0,1.85000002384186,5.51000022888184,76.4000015258789,0,0,1,0,0,132,132,74.9000015258789,44.4106559753418,9.98003959655762,NA,14.0547704696655,4.90000009536743,6.69999980926514,1,1,0,0,0,0,0,0,0,0,17.8732604980469,10.1354513168335,8.68225002288818,17.9104042053223,1.36976432800293,5,4.16666650772095,4.16666650772095,0.333333343267441,64,64,1,1,1,64,0,0
